Gene Name,Index
0610005C13Rik,0
0610009B22Rik,1
0610009E02Rik,2
0610009L18Rik,3
0610010F05Rik,4
0610010K14Rik,5
0610012D04Rik,6
0610012G03Rik,7
0610025J13Rik,8
0610030E20Rik,9
0610033M10Rik,10
0610038B21Rik,11
0610039K10Rik,12
0610040B10Rik,13
0610040F04Rik,14
0610040J01Rik,15
0610043K17Rik,16
0710001A04Rik,17
1010001B22Rik,18
1110002E22Rik,19
1110002J07Rik,20
1110002L01Rik,21
1110002O04Rik,22
1110004F10Rik,23
1110006O24Rik,24
1110008E08Rik,25
1110008P14Rik,26
1110012L19Rik,27
1110013H19Rik,28
1110015O18Rik,29
1110017D15Rik,30
1110018N20Rik,31
1110019B22Rik,32
1110019D14Rik,33
1110020A21Rik,34
1110028F11Rik,35
1110032A03Rik,36
1110032F04Rik,37
1110035H17Rik,38
1110038B12Rik,39
1110038F14Rik,40
1110046J04Rik,41
1110051M20Rik,42
1110059E24Rik,43
1110059G10Rik,44
1110065P20Rik,45
1190001M18Rik,46
1190005I06Rik,47
1190007I07Rik,48
1200007C13Rik,49
1300002E11Rik,50
1300014J16Rik,51
1300017J02Rik,52
1500002C15Rik,53
1500002F19Rik,54
1500004A13Rik,55
1500009C09Rik,56
1500009L16Rik,57
1500011B03Rik,58
1500012K07Rik,59
1500015A07Rik,60
1500015L24Rik,61
1500026H17Rik,62
1500032F14Rik,63
1500035N22Rik,64
1520401A03Rik,65
1600002D24Rik,66
1600002K03Rik,67
1600010M07Rik,68
1600012H06Rik,69
1600014C10Rik,70
1600014C23Rik,71
1600019K03Rik,72
1600020E01Rik,73
1600022D10Rik,74
1600027J07Rik,75
1700001C02Rik,76
1700001C19Rik,77
1700001F09Rik,78
1700001G01Rik,79
1700001G11Rik,80
1700001J03Rik,81
1700001J04Rik,82
1700001K19Rik,83
1700001K23Rik,84
1700001L05Rik,85
1700001L19Rik,86
1700001O22Rik,87
1700001P01Rik,88
1700003D09Rik,89
1700003E16Rik,90
1700003F12Rik,91
1700003G18Rik,92
1700003I22Rik,93
1700003L19Rik,94
1700003M07Rik,95
1700003P14Rik,96
1700006F04Rik,97
1700006H21Rik,98
1700006J14Rik,99
1700007F19Rik,100
1700007K13Rik,101
1700007L15Rik,102
1700007P06Rik,103
1700008B11Rik,104
1700008J07Rik,105
1700008N11Rik,106
1700008O03Rik,107
1700009J07Rik,108
1700009N14Rik,109
1700010B13Rik,110
1700010G06Rik,111
1700010I14Rik,112
1700010K23Rik,113
1700011D18Rik,114
1700012B07Rik,115
1700012B09Rik,116
1700012C14Rik,117
1700012D14Rik,118
1700012E03Rik,119
1700012P22Rik,120
1700013D24Rik,121
1700013F07Rik,122
1700013H16Rik,123
1700014D04Rik,124
1700014L14Rik,125
1700015C15Rik,126
1700015F17Rik,127
1700015G11Rik,128
1700015I17Rik,129
1700016C15Rik,130
1700016D06Rik,131
1700016G22Rik,132
1700016H13Rik,133
1700016J18Rik,134
1700016K05Rik,135
1700016K19Rik,136
1700016L21Rik,137
1700016P03Rik,138
1700017B05Rik,139
1700017G19Rik,140
1700017J07Rik,141
1700017M07Rik,142
1700017N19Rik,143
1700018A04Rik,144
1700018B24Rik,145
1700018G05Rik,146
1700018L02Rik,147
1700019A02Rik,148
1700019D03Rik,149
1700019G24Rik,150
1700019J19Rik,151
1700019L13Rik,152
1700019N19Rik,153
1700020D05Rik,154
1700020L24Rik,155
1700020N01Rik,156
1700020N18Rik,157
1700021F05Rik,158
1700021F07Rik,159
1700021L23Rik,160
1700021N21Rik,161
1700022E09Rik,162
1700022H01Rik,163
1700022I11Rik,164
1700022N22Rik,165
1700023F02Rik,166
1700023F06Rik,167
1700023H06Rik,168
1700024B05Rik,169
1700024G13Rik,170
1700025D23Rik,171
1700025G04Rik,172
1700025K24Rik,173
1700025L06Rik,174
1700025N23Rik,175
1700026D11Rik,176
1700026J14Rik,177
1700026N04Rik,178
1700027A07Rik,179
1700027A15Rik,180
1700028E10Rik,181
1700028I16Rik,182
1700028J19Rik,183
1700028K03Rik,184
1700028N14Rik,185
1700028P14Rik,186
1700029I15Rik,187
1700029J07Rik,188
1700029M20Rik,189
1700030A11Rik,190
1700030C12Rik,191
1700030C14Rik,192
1700030F04Rik,193
1700030J22Rik,194
1700030K09Rik,195
1700030M09Rik,196
1700031P21Rik,197
1700034E13Rik,198
1700034G24Rik,199
1700034H15Rik,200
1700034I23Rik,201
1700034P13Rik,202
1700036A12Rik,203
1700036G14Rik,204
1700037C18Rik,205
1700037H04Rik,206
1700039M10Rik,207
1700040D17Rik,208
1700040L08Rik,209
1700041G16Rik,210
1700042O10Rik,211
1700047F07Rik,212
1700047I17Rik2,213
1700047K16Rik,214
1700047M11Rik,215
1700048F04Rik,216
1700048O20Rik,217
1700051A21Rik,218
1700052K11Rik,219
1700054A03Rik,220
1700054K19Rik,221
1700054M17Rik,222
1700055D18Rik,223
1700056E22Rik,224
1700056N10Rik,225
1700057G04Rik,226
1700057H15Rik,227
1700057H21Rik,228
1700058P15Rik,229
1700060C20Rik,230
1700060J05Rik,231
1700061G19Rik,232
1700061I17Rik,233
1700061N14Rik,234
1700063D05Rik,235
1700063H04Rik,236
1700063J08Rik,237
1700064H15Rik,238
1700064M15Rik,239
1700065D16Rik,240
1700065J18Rik,241
1700066B17Rik,242
1700066B19Rik,243
1700066J03Rik,244
1700066M21Rik,245
1700066O22Rik,246
1700067G17Rik,247
1700067K01Rik,248
1700067P10Rik,249
1700069B07Rik,250
1700069L16Rik,251
1700072G22Rik,252
1700080G11Rik,253
1700081N11Rik,254
1700082M22Rik,255
1700084C06Rik,256
1700084E18Rik,257
1700085C21Rik,258
1700086O06Rik,259
1700086P04Rik,260
1700087I21Rik,261
1700088E04Rik,262
1700092C02Rik,263
1700092K14Rik,264
1700092M07Rik,265
1700093J21Rik,266
1700093K21Rik,267
1700094D03Rik,268
1700094J05Rik,269
1700094M23Rik,270
1700095J03Rik,271
1700095J07Rik,272
